Vin, Vout, Iin, Iout
+4.50583600E+01, +5.01651340E+00, +1.30890000E-04, -1.31000000E-06
+4.50569240E+01, +5.00973630E+00, +1.33772000E-03, +8.61534000E-03
+4.50588820E+01, +5.00648480E+00, +2.77099000E-03, +1.88249600E-02
+4.50553580E+01, +5.00335080E+00, +4.21212000E-03, +2.90424400E-02
+4.50556190E+01, +5.00047800E+00, +5.64670000E-03, +3.92075600E-02
+4.50558800E+01, +4.99828430E+00, +7.08783000E-03, +4.94250400E-02
+4.50557500E+01, +5.00059560E+00, +8.53812000E-03, +5.96307400E-02
+4.50534000E+01, +5.00301130E+00, +1.00145800E-02, +6.98508500E-02
+4.50554890E+01, +5.00147050E+00, +1.14635600E-02, +8.00172600E-02
+4.50543140E+01, +4.99846710E+00, +1.29046900E-02, +9.02190600E-02
+4.50527480E+01, +4.99538540E+00, +1.43510500E-02, +1.00424740E-01
+4.50526170E+01, +4.99103700E+00, +1.57856300E-02, +1.10665790E-01
+4.50528780E+01, +4.98931330E+00, +1.72293800E-02, +1.20825680E-01
+4.50526170E+01, +4.98883020E+00, +1.86901400E-02, +1.31041860E-01
+4.50489620E+01, +4.98849070E+00, +2.01378100E-02, +1.41260660E-01
+4.50494850E+01, +4.98760270E+00, +2.15933500E-02, +1.51423160E-01
+4.50496150E+01, +4.98525230E+00, +2.30501900E-02, +1.61639340E-01
+4.50509200E+01, +4.98185720E+00, +2.44952400E-02, +1.71841110E-01
+4.50503980E+01, +4.98350250E+00, +2.59926500E-02, +1.82053370E-01
+4.50476570E+01, +4.98346330E+00, +2.74429400E-02, +1.92239440E-01
+4.50472660E+01, +4.98415540E+00, +2.89233300E-02, +2.02441230E-01
+4.50480490E+01, +4.98170050E+00, +3.03971800E-02, +2.12648230E-01
+4.50493540E+01, +4.97979400E+00, +3.18697200E-02, +2.22818620E-01
+4.50467440E+01, +4.97854040E+00, +3.33409500E-02, +2.33030860E-01
+4.50467440E+01, +4.97918020E+00, +3.48121900E-02, +2.43252270E-01
+4.50470050E+01, +4.97942830E+00, +3.62938900E-02, +2.53448820E-01
+4.50442640E+01, +4.97886680E+00, +3.77769000E-02, +2.63646660E-01
+4.50453080E+01, +4.97890600E+00, +3.92860900E-02, +2.73855000E-01
+4.50447860E+01, +4.97856650E+00, +4.07861200E-02, +2.84077720E-01
+4.50436110E+01, +4.97790050E+00, +4.22848600E-02, +2.94299150E-01
+4.50440030E+01, +4.97702560E+00, +4.37875000E-02, +3.04497000E-01
+4.50436110E+01, +4.97686890E+00, +4.53189500E-02, +3.14662120E-01
+4.50433500E+01, +4.97906270E+00, +4.68556200E-02, +3.24815450E-01
+4.50426970E+01, +4.99135040E+00, +4.85349700E-02, +3.35074830E-01
+4.50412620E+01, +4.97743040E+00, +4.98281900E-02, +3.45444160E-01
+4.50428280E+01, +4.91600480E+00, +5.07104100E-02, +3.55843580E-01
+4.50394340E+01, +4.91682740E+00, +5.20716900E-02, +3.66249570E-01
+4.50402170E+01, +4.91702330E+00, +5.34146600E-02, +3.76616270E-01
+4.50404780E+01, +4.91745420E+00, +5.47746300E-02, +3.87070670E-01
+4.50389120E+01, +4.91801570E+00, +5.61398400E-02, +3.97551270E-01
+4.50381290E+01, +4.91869480E+00, +5.75050500E-02, +4.08039700E-01
+4.50390430E+01, +4.91885150E+00, +5.88676400E-02, +4.18547770E-01
+4.50381290E+01, +4.91921710E+00, +6.02446300E-02, +4.29174970E-01
+4.50376070E+01, +4.91966110E+00, +6.16517200E-02, +4.39872830E-01
+4.50373460E+01, +4.92010500E+00, +6.30405100E-02, +4.50684570E-01
+4.50382600E+01, +4.92086240E+00, +6.44606900E-02, +4.61717560E-01
+4.50360410E+01, +4.92113660E+00, +6.58861100E-02, +4.73029310E-01
+4.50361710E+01, +4.92165900E+00, +6.73311600E-02, +4.84651280E-01
+4.50366930E+01, +4.92237710E+00, +6.88167900E-02, +4.96604400E-01
+4.50344740E+01, +4.92270360E+00, +7.03443100E-02, +5.08997330E-01
